idx,n_heur,n_llm,exact_overlap,precision,recall,f1,precision_sub,recall_sub,f1_sub,heur_aspects,llm_aspects
121,9,4,1,0.111,0.25,0.154,0.333,0.75,0.462,ad|bluetooth|edit|foto|friend|internet|internet it|pc|some other app,bluetooth|internet connection|photo editing|saving
168,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,grid|photo,grid|photo
500,1,3,0,0.0,0.0,0,0.0,0.0,0,phone,keep come back|keep take off|want
969,9,4,3,0.333,0.75,0.462,0.444,1.0,0.615,do option|edit|filter|gallery|new updation|pic|pic hop|reply|stuff,filter|gallery|new updation|saving pic
1048,8,3,0,0.0,0.0,0,0.375,0.667,0.48,ad|hate popup|lag|money|note|pay alot|phone|popup,phone lag|popup add|worst
1685,2,4,1,0.5,0.25,0.333,0.5,0.25,0.333,device|news,cheeky|importance|news|uninstall
1786,8,7,2,0.25,0.286,0.267,0.625,0.429,0.508,both picture|picture|same video|selective speed|speed|three thing|two wider range|video,dark mode|lapse|one at a time|range|search bar|speed|video
1945,5,4,0,0.0,0.0,0,0.4,0.75,0.522,error|every song|next song|song|track,back error|constant login|error message|song playback
2734,2,1,1,0.5,1.0,0.667,1.0,1.0,1.0,older version|version,older version
2834,6,7,0,0.0,0.0,0,0.5,0.429,0.462,any further information|good app|hotel|its room|our <app|some problem,book|dark mode|information|problem|room|search bar|settings
3663,3,3,1,0.333,0.333,0.333,1.0,0.667,0.8,edit|simple mistake|video,simple mistake|take out|video editing
5483,6,5,1,0.167,0.2,0.182,0.167,0.2,0.182,another problem|digit|digit> different phone|every <app|game|phone,battery|dark mode|game|response|search bar
5498,1,4,1,1.0,0.25,0.4,1.0,0.25,0.4,number,number|registration|uber app|work
6673,2,1,0,0.0,0.0,0,0.0,0.0,0,chat|device,slow
6872,1,3,0,0.0,0.0,0,1.0,0.667,0.8,disable people,disable|people|transport
6964,3,2,0,0.0,0.0,0,0.667,0.5,0.571,notification|play store|unwanted notification,installation|unwanted notifications
7026,2,1,0,0.0,0.0,0,0.5,1.0,0.667,background|digit> star,blurr background
7470,19,5,1,0.053,0.2,0.083,0.263,0.6,0.366,ad|any other option|browser|day|developer|full version|its birth|mini option|mini version|no save page option|reply|save page option|simple answer|so two more star|some heaby page|ui|version|video|video mini,dark mode|mini version|save page|search bar|video playback
7578,3,2,1,0.333,0.5,0.4,1.0,1.0,1.0,image|image quality|not right low quality,image quality|quality
7602,4,1,1,0.25,1.0,0.4,0.25,1.0,0.4,ad|ads|all thing|embarrass,ads
8571,2,1,0,0.0,0.0,0,0.0,0.0,0,its satisfactory|problem,lock
8761,20,5,0,0.0,0.0,0,0.2,0.6,0.3,actual hotel|ad|advance|any room|book|constant traffic|desperation|even one room|fact|hotel|hour|move|no hotel|our party|phone|place|process|sync|these apps|very bad experience,dark mode|hotel availability|room|search bar|traffic
9848,5,3,0,0.0,0.0,0,0.4,0.667,0.5,edit|every two minute|magic section phone|phone|problem,magic section|phone reboot|two minute interval
10601,5,4,2,0.4,0.5,0.444,0.6,0.75,0.667,ad|game|main screen|phone|screen,game|glitch|main|screen
11190,6,5,2,0.333,0.4,0.364,0.333,0.4,0.364,ad|any old sit nav app|friend|people|reason|route finder,beep|dark mode|friend|route finder|search bar
11383,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,update,update
11784,3,3,1,0.333,0.333,0.333,0.667,1.0,0.8,ad|ads|cool and useful but too many ads,ads|cool|useful
12407,11,9,4,0.364,0.444,0.4,0.727,0.778,0.752,ad|ads|all type|creative option|few more day|home screen|hospital|lock screen|menu|omni swipe prime|screen,ads|creative options|dark mode|home screen|hospital app|lock screen|menu|search bar|swipe
13594,11,3,0,0.0,0.0,0,0.273,0.667,0.387,ad|any contest|asap|contest page|entry|hell|no point|other contestant recent entry|others|photo|submission,recent entry|view others|view own
13611,3,1,1,0.333,1.0,0.5,0.667,1.0,0.8,ad|phone|phone load,phone load
13622,3,3,2,0.667,0.667,0.667,1.0,1.0,1.0,internet connection|own sticker|update,internet connection|sticker|update
13699,3,2,1,0.333,0.5,0.4,1.0,1.0,1.0,edit|hang|pic app,edit pic app|hang
13754,4,2,0,0.0,0.0,0,0.0,0.0,0,ad|long time|problem|user,app|hibernate
14128,8,4,1,0.125,0.25,0.167,0.125,0.25,0.167,freeze|have use|its a good app|its the most frustrate thing|little bite|nd tap bac|phone|while,freeze|lg g6|search|smoothness
15425,12,6,4,0.333,0.667,0.444,0.75,1.0,0.857,ad|advertisement|data|enough data|feature|good rat|our phone|phone|too many advertisement|total fake app|unlock feature|useless application,advertisement|data|fake app|phone|rat|useless application
15619,2,3,1,0.5,0.333,0.4,1.0,0.667,0.8,layout|regional news,ease of use|good layout|regional news
15749,10,8,4,0.4,0.5,0.444,0.8,0.625,0.702,ad|constant little circle load icon|ghost app placer|home screen|icon|lag|newest update|recent activity screen|screen|update,home screen|lag|load icon|motorola droid turbo2|nougat|recent activity screen|speed|update
15855,11,5,2,0.182,0.4,0.25,0.545,0.8,0.649,ad|ads|adult|apps|battery|boost battery save|each screen|large size app|phone|screen|some ads,ads|adult ads|battery|hang|size
17002,5,5,2,0.4,0.4,0.4,0.4,0.4,0.4,digit|free call|memory|one call|phone,dark mode|free call|memory|search bar|settings
17175,7,4,2,0.286,0.5,0.364,0.571,1.0,0.727,ad|item|notification|opposite side|police|road|stick,notifications|opposite side|report item|stick
18021,3,2,2,0.667,1.0,0.8,1.0,1.0,1.0,fare estimation|new update|update,fare estimation|update
18167,8,2,0,0.0,0.0,0,0.375,1.0,0.545,edit|good application|great job|image|its quality|logo|problem|thnx team,image quality|logo editing
18352,1,1,0,0.0,0.0,0,0.0,0.0,0,sometimes it,unreliability
18501,2,1,0,0.0,0.0,0,0.5,1.0,0.667,font|gt,use font
18587,8,4,2,0.25,0.5,0.333,0.375,0.5,0.429,ad|ads|application|device|lock screen|more than one device|screen|year,ads|exe|lock screen|modification
18672,7,4,1,0.143,0.25,0.182,0.429,0.5,0.462,content provider|filter|fox news|news app|option|top news filter|ui,dark mode|remove fox news|search bar|top news filter
18881,2,1,0,0.0,0.0,0,0.0,0.0,0,phone|trash,do my thing
19012,12,4,2,0.167,0.5,0.25,0.417,0.75,0.536,account|ad|any account information|browser|email adress|error message|few day|many time|matter|message|no option|sign in,account information|change email address|error message|sign in
19312,1,1,0,0.0,0.0,0,0.0,0.0,0,update,work
19502,17,6,2,0.118,0.333,0.174,0.235,0.5,0.32,ad|app have some|app problem|cancel trip|car|customer service|driver|fine|help|just the order|message|money|same message|sentence|single word|some issue|worst customer service,conversation|customer service|dark mode|fine|search bar|trip
20054,6,3,0,0.0,0.0,0,0.5,1.0,0.667,ad|battery|freeze|phone|picture|text,battery removal|phone startup|text addition
20233,5,4,1,0.2,0.25,0.222,0.6,0.5,0.545,particular word|type matter|user> choice|very wonderful app|word,choice|highlight|particular word|type colour
20606,1,1,0,0.0,0.0,0,1.0,1.0,1.0,more frame,more frames
20939,6,5,1,0.167,0.2,0.182,0.667,0.8,0.727,ad|additional data|any overage|data|job|purchase,additional data|app suck|data usage|job data|overage
21209,9,3,1,0.111,0.333,0.167,0.444,0.667,0.533,ad|big advert|last update|long time|phone|recent tab screen|screen|tab|update,advert|recent tab screen|uninstall
21293,1,1,0,0.0,0.0,0,0.0,0.0,0,clip art,access
21404,8,3,0,0.0,0.0,0,0.125,0.333,0.182,3or4 time|android4|cellphone|cellphone becuase|help|need|phone|screen,delay screen|samsung duos2|touch
21756,1,1,0,0.0,0.0,0,0.0,0.0,0,still more option need,more options
21783,1,1,0,0.0,0.0,0,0.0,0.0,0,new annoy apps,new apps
22472,2,2,1,0.5,0.5,0.5,0.5,0.5,0.5,notification|phone,notification|turn off
22660,4,3,2,0.5,0.667,0.571,0.75,1.0,0.857,ad|ads|screen|virus,ads|touch screen|virus
22986,3,1,1,0.333,1.0,0.5,0.333,1.0,0.5,ad|ads|small fee,ads
24372,3,4,0,0.0,0.0,0,1.0,0.75,0.857,back|bunch|date,bunch of apps|get back|play functionality|update status
24507,4,1,1,0.25,1.0,0.4,0.5,1.0,0.667,no new tool|only big update|update|user,update
24748,11,4,1,0.091,0.25,0.133,0.182,0.5,0.267,ad|annotation function|help|hour|patch|random time annotation|read pdf file|serious professional use|sloth|support|work,accessibility|annotation function|pdf file|responsibility
24929,1,2,0,0.0,0.0,0,0.0,0.0,0,begginers,beginners|difficulty
25540,14,4,2,0.143,0.5,0.222,0.357,0.75,0.484,feature|issue|lot|message|new version|older version|other apps|picture|save sign|save sign in|sign in|these issue|version|wrong message,feature|save sign in|send picture|something go wrong
25588,3,4,1,0.333,0.25,0.286,1.0,0.5,0.667,message|purchase|purchase message,busy|check purchase|message|server
